population,variant,allocation,metric,block_length_months,replications,observations,estimate,ci_2_5,bootstrap_median,ci_97_5,p_two_sided
gbp_fixed,broad,equal_group,ic,6,2000,103,0.026533523826460504,0.007504705998093443,0.026713406632356943,0.04290943884260756,0.01
gbp_fixed,broad,equal_group,spread,6,2000,103,0.004175760542679876,-0.002141035935847381,0.004315775328813816,0.009783781205130437,0.197
gbp_fixed,broad,equal_group,spread_winsorised,6,2000,103,0.0046396764316374,-0.0018668961280639152,0.004784727959026142,0.010218188740703611,0.135
gbp_fixed,broad,equal_group,net_spread_25bps,6,2000,102,0.0024479266347893604,-0.004198231588522821,0.0024384131412034807,0.00819896174919247,0.402
gbp_fixed,broad,equal_group,ic,3,1000,103,0.026533523826460504,0.00958037904881784,0.02626412007081973,0.042364118244818214,0.004
gbp_fixed,broad,equal_group,spread,3,1000,103,0.004175760542679876,-0.0016682089083255177,0.00411646967003711,0.009282718525488072,0.186
gbp_fixed,broad,equal_group,spread_winsorised,3,1000,103,0.0046396764316374,-0.0008524013652464366,0.004667948566792156,0.009635081416622806,0.098
gbp_fixed,broad,equal_group,net_spread_25bps,3,1000,102,0.0024479266347893604,-0.0034957265509555405,0.002535654934344769,0.007853958621793724,0.382
gbp_fixed,broad,equal_group,ic,12,1000,103,0.026533523826460504,0.007481962504366039,0.02668818975113883,0.04494782236190944,0.004
gbp_fixed,broad,equal_group,spread,12,1000,103,0.004175760542679876,-0.0019682414765613086,0.004279299305759504,0.009877384245170843,0.166
gbp_fixed,broad,equal_group,spread_winsorised,12,1000,103,0.0046396764316374,-0.0014040727505479165,0.0046557520800598485,0.01026006882182064,0.138
gbp_fixed,broad,equal_group,net_spread_25bps,12,1000,102,0.0024479266347893604,-0.003777766213436022,0.0027368200519171234,0.008155849168562237,0.448
gbp_fixed,broad,equal_signal,ic,6,2000,103,0.047738328551030884,0.028471135842156412,0.04785985490366884,0.06774922246641799,0.0
gbp_fixed,broad,equal_signal,spread,6,2000,103,0.008151101428578124,0.001817615161175443,0.008214969008194252,0.014210497981805346,0.009
gbp_fixed,broad,equal_signal,spread_winsorised,6,2000,103,0.008765394772872828,0.0026363788868837934,0.008773829782117389,0.01441065395449257,0.003
gbp_fixed,broad,equal_signal,net_spread_25bps,6,2000,102,0.006053726790785127,-0.0003193546110159013,0.006161884649543457,0.012187046599709678,0.06
gbp_fixed,broad,equal_signal,ic,3,1000,103,0.047738328551030884,0.029105064347863474,0.04730642112980781,0.06621511668055513,0.0
gbp_fixed,broad,equal_signal,spread,3,1000,103,0.008151101428578124,0.002394984977579823,0.008248979841263146,0.014357270609775154,0.01
gbp_fixed,broad,equal_signal,spread_winsorised,3,1000,103,0.008765394772872828,0.00255792910197807,0.008645698687137092,0.014710174668507612,0.004
gbp_fixed,broad,equal_signal,net_spread_25bps,3,1000,102,0.006053726790785127,-4.641888638501057e-05,0.006174635167548853,0.012244731436115014,0.052
gbp_fixed,broad,equal_signal,ic,12,1000,103,0.047738328551030884,0.028072475965490395,0.04796553455225282,0.06828171070313767,0.0
gbp_fixed,broad,equal_signal,spread,12,1000,103,0.008151101428578124,0.001676035160242427,0.008208993418183088,0.013607010532857927,0.018
gbp_fixed,broad,equal_signal,spread_winsorised,12,1000,103,0.008765394772872828,0.0030347021327781607,0.00884465849239657,0.014146193655098437,0.008
gbp_fixed,broad,equal_signal,net_spread_25bps,12,1000,102,0.006053726790785127,-0.0005524207587550367,0.005915563032131105,0.011853535741405527,0.06
gbp_fixed,broad,inverse_redundancy,ic,6,2000,67,0.031923020513062055,0.0019301455109061747,0.032615212573661775,0.0544498258967291,0.039
gbp_fixed,broad,inverse_redundancy,spread,6,2000,67,0.004417984458130765,-0.004972677201643894,0.00471621331622509,0.012933967856526646,0.337
gbp_fixed,broad,inverse_redundancy,spread_winsorised,6,2000,67,0.00497713408900799,-0.004497733745614605,0.00534031954623517,0.012523490169235627,0.279
gbp_fixed,broad,inverse_redundancy,net_spread_25bps,6,2000,66,0.0025947910990245346,-0.007160801867006062,0.0029114970733136345,0.010529711028831002,0.521
gbp_fixed,broad,inverse_redundancy,ic,3,1000,67,0.031923020513062055,0.007211266000050817,0.0326665899632817,0.053457057430232956,0.016
gbp_fixed,broad,inverse_redundancy,spread,3,1000,67,0.004417984458130765,-0.003959591221705262,0.004397561373943554,0.011589354630870343,0.306
gbp_fixed,broad,inverse_redundancy,spread_winsorised,3,1000,67,0.00497713408900799,-0.003107576592290661,0.004806528036987633,0.012438070208030129,0.228
gbp_fixed,broad,inverse_redundancy,net_spread_25bps,3,1000,66,0.0025947910990245346,-0.005413663212028962,0.0029094884164079645,0.010884185994226948,0.516
gbp_fixed,broad,inverse_redundancy,ic,12,1000,67,0.031923020513062055,0.0013906399280866858,0.03262653913480332,0.05699597007747598,0.04
gbp_fixed,broad,inverse_redundancy,spread,12,1000,67,0.004417984458130765,-0.005014985780750048,0.0048222452804106645,0.01225951756822128,0.34
gbp_fixed,broad,inverse_redundancy,spread_winsorised,12,1000,67,0.00497713408900799,-0.004272433301512807,0.005315719992490352,0.01230757918481537,0.268
gbp_fixed,broad,inverse_redundancy,net_spread_25bps,12,1000,66,0.0025947910990245346,-0.00667941253939005,0.0029339238497386017,0.010772944254494068,0.534
