period,composite,specification,months,monthly_intercept,annualised_intercept,intercept_hac_t,intercept_p_value,adjusted_r_squared,beta_Mkt-RF,beta_SMB,beta_HML,beta_Mom,beta_RMW,beta_CMA
1990-2024,equal_group,ff3_plus_momentum,420,0.003940146278657225,0.047281755343886706,9.6619702887378,4.373698476744031e-22,0.47262672474240053,-0.09346081867107478,0.04264838617096066,-0.01244093024384569,0.09101745705768853,,
1990-2024,equal_group,ff5,420,0.0045579126901062915,0.054694952281275494,9.316587150459034,1.2014264312668417e-20,0.342821060721082,-0.11307175328531545,0.026992031886380195,-0.07826323274963198,,-0.04151973173909859,0.10902174423331121
1990-2024,equal_group,ff5_plus_momentum,420,0.004033824781575801,0.04840589737890961,9.93155716465864,3.034787208434559e-23,0.49950762377932567,-0.09013634425225704,0.024065333942734336,-0.03151111710141379,0.08815906936820687,-0.05051509714073578,0.07250591817904865
1990-2024,equal_signal,ff3_plus_momentum,420,0.004473913139238498,0.05368695767086197,11.90495042666593,1.115295657317155e-32,0.5588212203824499,-0.07132541053294317,-0.014744946374989028,0.06628442091573537,0.10036416926082464,,
1990-2024,equal_signal,ff5,420,0.004609004348662867,0.055308052183954404,10.439205498378241,1.6417899590383917e-25,0.40963829122209927,-0.07551464024800048,-0.0006857738298025901,-0.051150754185509115,,0.046384290959850846,0.17483924028275388
1990-2024,equal_signal,ff5_plus_momentum,420,0.004056795096201678,0.04868154115442014,11.504037068301715,1.2588650172516583e-30,0.6166015497358754,-0.051348570260716965,-0.003769511609924229,-0.0018900282407515543,0.09288948094603797,0.036906255074647,0.13636405953499156
1990-2024,equal_signal_deduplicated,ff3_plus_momentum,420,0.004498767869036463,0.05398521442843756,12.079515524934054,1.3551583153094324e-33,0.5539430954407537,-0.07098469082123944,-0.011023464543016065,0.060146726737950434,0.09979841973851353,,
1990-2024,equal_signal_deduplicated,ff5,420,0.004650127542290343,0.05580153050748412,10.5435605938335,5.439945901473463e-26,0.39676247228621186,-0.0760196670570453,0.0026932780841307635,-0.05403574952917182,,0.04514091450181241,0.1682028088068098
1990-2024,equal_signal_deduplicated,ff5_plus_momentum,420,0.004099200194473967,0.049190402333687606,11.654040143495884,2.1883235884903485e-31,0.6074891637595361,-0.05190969645097562,-0.0003833010731208314,-0.004889377976547421,0.09267384628119231,0.0356848810335743,0.12981694476768796
2016-2024,equal_group,ff3_plus_momentum,108,0.0014794989774056483,0.017753987728867777,2.2881404863074093,0.02212934116965414,0.33589948766261524,-0.04978619917410607,0.047051755051461495,-0.045040756237012494,0.07715374434439773,,
2016-2024,equal_group,ff5,108,0.0019738927255904,0.0236867127070848,3.088429741169864,0.0020121726623396484,0.3160477260390734,-0.05405026064397839,-0.027783568764102217,-0.04940509603422874,,-0.12278217856986681,0.028704681807153205
2016-2024,equal_group,ff5_plus_momentum,108,0.001792773227037577,0.021513278724450923,2.926539672442245,0.0034275578714289164,0.3884747231605232,-0.041858203972386175,0.002758004039691387,-0.03225644521830138,0.06592559015676168,-0.102133098137142,0.00714385773756132
2016-2024,equal_signal,ff3_plus_momentum,108,0.0024648691639232766,0.02957842996707932,4.209488261998779,2.559497384632517e-05,0.5427412085603531,-0.030629694888983802,-0.0711861939943854,0.06622740536417539,0.08876537277459495,,
2016-2024,equal_signal,ff5,108,0.0024239984093045704,0.029087980911654845,4.247035466398662,2.1661767979945898e-05,0.4447900226028956,-0.045629676298633313,-0.07790806922419327,-9.777596356789695e-05,,0.036688641704118036,0.10003951150106064
2016-2024,equal_signal,ff5_plus_momentum,108,0.002180306749264192,0.0261636809911703,4.049355271518377,5.135892781842492e-05,0.5958550756904291,-0.029225575396485695,-0.03681516295916043,0.022975295782859517,0.08870119800910482,0.06447145210920895,0.07102997331583101
2016-2024,equal_signal_deduplicated,ff3_plus_momentum,108,0.0024370246064268335,0.029244295277122002,4.393911391807619,1.1132920789219809e-05,0.547978928713572,-0.030238546015921443,-0.06960332950257932,0.05990101522604814,0.08689291304077407,,
2016-2024,equal_signal_deduplicated,ff5,108,0.0024057205803141007,0.028868646963769208,4.400591952262622,1.0795596735257676e-05,0.43561012444713176,-0.0464647481282483,-0.07658182722759951,-0.0001314764997372474,,0.03849660772736399,0.08604609193536442
2016-2024,equal_signal_deduplicated,ff5_plus_momentum,108,0.002163087173029269,0.02595704607635123,4.227464034535331,2.3633993712519377e-05,0.5945887089221622,-0.030131883496472375,-0.03566737057090032,0.02284139837597851,0.0883160051502361,0.06615876880180836,0.057162530255512836
