period,composite,months,mean_monthly_return,monthly_volatility,positive_month_fraction
1990-1999,equal_signal,120,0.007019947153916855,0.007468263444372026,0.8666666666666667
1990-1999,equal_signal_deduplicated,120,0.007024263395065276,0.007445552851653639,0.875
1990-1999,equal_group,120,0.00648643027752371,0.008558141178775092,0.85
2000-2009,equal_signal,120,0.005214463393179377,0.011890170188695608,0.7
2000-2009,equal_signal_deduplicated,120,0.005276873943350258,0.011798280900971686,0.7083333333333334
2000-2009,equal_group,120,0.004238173755538173,0.01274452449893626,0.6333333333333333
2010-2019,equal_signal,120,0.0016362043285794534,0.005261501158832326,0.6333333333333333
2010-2019,equal_signal_deduplicated,120,0.0016949395466494344,0.005157477759787626,0.625
2010-2019,equal_group,120,0.0014651763005868808,0.0061141111714248485,0.65
2020-2024,equal_signal,60,0.0036289129517129534,0.008063977094995291,0.7
2020-2024,equal_signal_deduplicated,60,0.0035231150044767083,0.007758272014108636,0.7
2020-2024,equal_group,60,0.0015356212999340553,0.008374838308831367,0.5833333333333334
