population,variant,metric,block_length_months,replications,allocation,observations,estimate,ci_2_5,bootstrap_median,ci_97_5,p_two_sided
gbp_fixed,broad_deduplicated,ic,6,2000,equal_signal,67,0.04549545980617526,0.02007072168086451,0.04581356375158701,0.06960015246142147,0.0
gbp_fixed,broad_deduplicated,ic,6,2000,equal_group,67,0.031768598143460405,0.0035870320002143116,0.03277171612876438,0.05529740514311031,0.033
gbp_fixed,broad_deduplicated,ic,6,2000,inverse_redundancy,67,0.03306839840370532,0.005018809999930529,0.034104888001598735,0.056682798041742304,0.027
gbp_fixed,broad_deduplicated,ic,6,2000,trailing_positive_evidence,67,0.04453162453746648,0.018986679030137687,0.04489709345012924,0.06923361675054666,0.0
gbp_fixed,broad_deduplicated,spread,6,2000,equal_signal,67,0.007365090898457159,-0.0011215628513003787,0.007427058926109618,0.015915685870332073,0.105
gbp_fixed,broad_deduplicated,spread,6,2000,equal_group,67,0.005274737387717088,-0.004178582175717727,0.005663931388184629,0.01363436925564062,0.268
gbp_fixed,broad_deduplicated,spread,6,2000,inverse_redundancy,67,0.004771388713919047,-0.004724630371006415,0.0051715916449865795,0.013379500537384369,0.328
gbp_fixed,broad_deduplicated,spread,6,2000,trailing_positive_evidence,67,0.004807041165996058,-0.0031634854096957276,0.0048794250541965775,0.012616603296226901,0.246
gbp_fixed,broad_deduplicated,spread_winsorised,6,2000,equal_signal,67,0.008163169729671122,-0.00034601857142626613,0.008145757149074243,0.01639141078390587,0.062
gbp_fixed,broad_deduplicated,spread_winsorised,6,2000,equal_group,67,0.005902326478064602,-0.003804974320944147,0.006186349756991167,0.013919276502936923,0.212
gbp_fixed,broad_deduplicated,spread_winsorised,6,2000,inverse_redundancy,67,0.005510003333797976,-0.0044473953857614825,0.005785048591931104,0.013474220072512115,0.246
gbp_fixed,broad_deduplicated,spread_winsorised,6,2000,trailing_positive_evidence,67,0.005773126290349156,-0.0022575828303514523,0.005769436371740716,0.013443611517386852,0.161
gbp_fixed,broad_deduplicated,net_spread_10bps,6,2000,equal_signal,66,0.006520143888899014,-0.0014598434382104813,0.0067364600191319336,0.015135169889063922,0.124
gbp_fixed,broad_deduplicated,net_spread_10bps,6,2000,equal_group,66,0.004506752019005388,-0.005454467908317171,0.004824230803937419,0.012768109785537909,0.333
gbp_fixed,broad_deduplicated,net_spread_10bps,6,2000,inverse_redundancy,66,0.004083112265464639,-0.006246135737180366,0.004355714398588337,0.012564766293117707,0.399
gbp_fixed,broad_deduplicated,net_spread_10bps,6,2000,trailing_positive_evidence,66,0.003911808168432194,-0.0037693220698132484,0.00404012420810376,0.011933116955182977,0.328
gbp_fixed,broad_deduplicated,net_spread_25bps,6,2000,equal_signal,66,0.005266276036401382,-0.0034987798604198344,0.005455971128850005,0.013570717541096866,0.213
gbp_fixed,broad_deduplicated,net_spread_25bps,6,2000,equal_group,66,0.0032629569025877255,-0.007012511952702854,0.0036588795000134953,0.011547308435693961,0.43
gbp_fixed,broad_deduplicated,net_spread_25bps,6,2000,inverse_redundancy,66,0.0028424903695653766,-0.007703872556556096,0.0032458278812602147,0.011198192229341878,0.504
gbp_fixed,broad_deduplicated,net_spread_25bps,6,2000,trailing_positive_evidence,66,0.0025366122817488818,-0.005559478955689549,0.002686503527713477,0.010495543308928445,0.515
gbp_fixed,broad_deduplicated,net_spread_50bps,6,2000,equal_signal,66,0.0031764962822386634,-0.005495463292458668,0.003182044036281209,0.012154388312749849,0.465
gbp_fixed,broad_deduplicated,net_spread_50bps,6,2000,equal_group,66,0.0011899650418916224,-0.007898978026952986,0.0013921570960951373,0.009698520887851444,0.776
gbp_fixed,broad_deduplicated,net_spread_50bps,6,2000,inverse_redundancy,66,0.0007747872097332725,-0.008731697420147073,0.001162228175303525,0.009414593124772046,0.839
gbp_fixed,broad_deduplicated,net_spread_50bps,6,2000,trailing_positive_evidence,66,0.0002446191372766953,-0.007726217168541675,0.00032925263972595964,0.008247591407232944,0.935
gbp_fixed,broad_deduplicated,net_spread_100bps,6,2000,equal_signal,66,-0.0010030632260867734,-0.010021556878038728,-0.0010377440635240631,0.007194097642770304,0.82
gbp_fixed,broad_deduplicated,net_spread_100bps,6,2000,equal_group,66,-0.0029560186795005833,-0.012644691054670086,-0.00269532941003091,0.005063782677731828,0.531
gbp_fixed,broad_deduplicated,net_spread_100bps,6,2000,inverse_redundancy,66,-0.0033606191099309355,-0.013482579289311222,-0.0032021638071957877,0.0050381172501789044,0.499
gbp_fixed,broad_deduplicated,net_spread_100bps,6,2000,trailing_positive_evidence,66,-0.004339367151667676,-0.012496939438900715,-0.004277193272947526,0.0033990277611581038,0.287
us_domestic_fixed,us_deduplicated,ic,6,2000,equal_signal,65,-0.0034999033134885445,-0.04294125818507019,-0.00382484941733672,0.035180389497691734,0.862
us_domestic_fixed,us_deduplicated,ic,6,2000,equal_group,65,0.004556460326956712,-0.03406578128747421,0.003847492451531396,0.04345174383983044,0.838
us_domestic_fixed,us_deduplicated,ic,6,2000,inverse_redundancy,65,0.005772026790733277,-0.030663769349915992,0.005092134851963075,0.04261453433578265,0.761
us_domestic_fixed,us_deduplicated,ic,6,2000,trailing_positive_evidence,65,-0.008571098196242966,-0.044582457837276886,-0.009018808106764344,0.025716885440165274,0.615
us_domestic_fixed,us_deduplicated,spread,6,2000,equal_signal,65,-0.008640769736193083,-0.024025424499384863,-0.008850289404098141,0.0075459894959296215,0.263
us_domestic_fixed,us_deduplicated,spread,6,2000,equal_group,65,-0.005828832982662801,-0.021233887812831573,-0.005982147660765843,0.009970600029155466,0.445
us_domestic_fixed,us_deduplicated,spread,6,2000,inverse_redundancy,65,-0.006077086271628279,-0.02088347482627864,-0.006202015045820604,0.008723858736099998,0.398
us_domestic_fixed,us_deduplicated,spread,6,2000,trailing_positive_evidence,65,-0.010854687014630418,-0.025707991387574094,-0.010981736400999921,0.003230347482955062,0.129
us_domestic_fixed,us_deduplicated,spread_winsorised,6,2000,equal_signal,65,-0.005390777495751412,-0.020252152660052317,-0.0058224658207173,0.00888557878894417,0.452
us_domestic_fixed,us_deduplicated,spread_winsorised,6,2000,equal_group,65,-0.0026654610502761977,-0.01687630618596246,-0.00279184888124111,0.01136672073615401,0.687
us_domestic_fixed,us_deduplicated,spread_winsorised,6,2000,inverse_redundancy,65,-0.0029285579060526605,-0.016649839455622966,-0.003081125475136481,0.010277765241100242,0.661
