population,variant,allocation,period,dates,mean_ic,mean_spread,positive_ic_fraction,positive_spread_fraction
gbp_fixed,broad,equal_group,2016-2019,37,0.0190937650119752,0.002619892162700454,0.6216216216216216,0.5945945945945946
gbp_fixed,broad,equal_group,2020-2022,31,0.013536716572187548,0.0025559070995925105,0.5806451612903226,0.5806451612903226
gbp_fixed,broad,equal_group,2023-2026,35,0.045909869569843886,0.007255263022535503,0.8,0.6
gbp_fixed,broad,equal_signal,2016-2019,37,0.05501295025113935,0.011085021768285224,0.7567567567567568,0.7297297297297297
gbp_fixed,broad,equal_signal,2020-2022,31,0.02822364090656725,0.004366983986133571,0.5806451612903226,0.5161290322580645
gbp_fixed,broad,equal_signal,2023-2026,35,0.05733245181029827,0.008401175375624358,0.8285714285714286,0.7142857142857143
gbp_fixed,broad,inverse_redundancy,2016-2019,1,0.016131080858675876,-0.008000168869410625,1.0,0.0
gbp_fixed,broad,inverse_redundancy,2020-2022,31,0.01804712069284656,0.002103607234912796,0.5806451612903226,0.5483870967741935
gbp_fixed,broad,inverse_redundancy,2023-2026,35,0.0446643014868068,0.006822665808053576,0.8,0.6
gbp_fixed,broad,trailing_positive_evidence,2016-2019,1,0.040958521004144356,0.002205943783531436,1.0,1.0
gbp_fixed,broad,trailing_positive_evidence,2020-2022,31,0.027864273934606477,0.0032135923820958024,0.6129032258064516,0.5483870967741935
gbp_fixed,broad,trailing_positive_evidence,2023-2026,35,0.05771817031459577,0.005248875477244468,0.7428571428571429,0.6285714285714286
gbp_fixed,broad_deduplicated,equal_group,2016-2019,37,0.019915884608264735,0.0024745821515815597,0.5405405405405406,0.5675675675675675
gbp_fixed,broad_deduplicated,equal_group,2020-2022,31,0.014436601315558274,0.003195483966918519,0.5806451612903226,0.5483870967741935
gbp_fixed,broad_deduplicated,equal_group,2023-2026,35,0.04685897695951415,0.007231789011493101,0.8,0.6
gbp_fixed,broad_deduplicated,equal_signal,2016-2019,37,0.055980245514528244,0.01217514785202069,0.7837837837837838,0.7567567567567568
gbp_fixed,broad_deduplicated,equal_signal,2020-2022,31,0.029687543826142207,0.004994722730220648,0.5806451612903226,0.4838709677419355
gbp_fixed,broad_deduplicated,equal_signal,2023-2026,35,0.05913304692837024,0.009447522215439734,0.8285714285714286,0.7142857142857143
gbp_fixed,broad_deduplicated,inverse_redundancy,2016-2019,1,0.028567229474813115,-0.004389729107657619,1.0,0.0
gbp_fixed,broad_deduplicated,inverse_redundancy,2020-2022,31,0.018891574885342852,0.002531168331280147,0.5806451612903226,0.5483870967741935
gbp_fixed,broad_deduplicated,inverse_redundancy,2023-2026,35,0.04575361834650901,0.007017330133444261,0.8,0.6285714285714286
gbp_fixed,broad_deduplicated,trailing_positive_evidence,2016-2019,1,0.056146807814029115,0.0033837999911453445,1.0,1.0
