population,variant,signal_date,signals,weighted_sleeve_turnover,aggregate_sleeve_turnover,trade_cancellation,aggregate_gross_exposure,aggregate_net_exposure,top10_trade_share,capacity_line_items,capacity_p10_gbp_at_1pct,capacity_median_gbp_at_1pct,capacity_p10_gbp_at_5pct,capacity_median_gbp_at_5pct,capacity_p10_gbp_at_10pct,capacity_median_gbp_at_10pct
gbp_fixed,broad_deduplicated,2016-08-31,106,0.3367629832626401,0.10815809393752737,0.6788302179483446,0.27050124182044755,1.734723475976807e-17,0.02382355336290193,2833,164119220.21152502,2641616999.8491483,820596101.057625,13208084999.245743,1641192202.11525,26416169998.491486
gbp_fixed,broad_deduplicated,2016-09-30,106,0.3363453616007733,0.10406202104287672,0.6906096146305902,0.2496112869987541,-6.938893903907228e-18,0.029060584619218,2814,163933738.032874,2432554964.2262278,819668690.16437,12162774821.13114,1639337380.32874,24325549642.26228
gbp_fixed,broad_deduplicated,2016-10-31,106,0.2592042051005414,0.09196347850042069,0.6452083851620021,0.26497821635414925,5.204170427930421e-18,0.03283416379304265,2765,220517382.39391315,2763035701.0256033,1102586911.9695659,13815178505.128016,2205173823.9391317,27630357010.25603
gbp_fixed,broad_deduplicated,2016-11-30,106,0.27948610373558275,0.09173758090419407,0.6717633553939215,0.2629834734052081,-2.2551405187698492e-17,0.029010965610409407,2864,212211848.28720436,2851630004.571412,1061059241.4360218,14258150022.85706,2122118482.8720436,28516300045.71412
gbp_fixed,broad_deduplicated,2016-12-30,106,0.31520842680927463,0.09718832308249235,0.6916696546907397,0.2574925683255699,-1.0408340855860843e-17,0.022509291844776153,2651,219650009.4534289,2902017497.1639004,1098250047.2671444,14510087485.819502,2196500094.534289,29020174971.639004
gbp_fixed,broad_deduplicated,2017-01-31,106,0.6472138290207704,0.14625485953174017,0.7740238960081822,0.22416571795169107,1.734723475976807e-18,0.01843266871355013,2081,86573706.51281154,1549558256.8829107,432868532.56405777,7747791284.414555,865737065.1281155,15495582568.82911
gbp_fixed,broad_deduplicated,2017-02-28,106,0.5210577123548374,0.11459556964133419,0.7800712532908538,0.23325500030894025,-7.806255641895632e-18,0.015191388591449171,2704,167093854.9997667,2091900770.8331738,835469274.9988335,10459503854.16587,1670938549.997667,20919007708.33174
gbp_fixed,broad_deduplicated,2017-03-31,106,0.4899701426381046,0.1284934621569789,0.7377524649458385,0.26838769717573774,0.0,0.01485519828672031,2868,170668226.12702808,1795690985.748056,853341130.6351405,8978454928.74028,1706682261.270281,17956909857.48056
gbp_fixed,broad_deduplicated,2017-05-31,106,0.3741218903390337,0.09940318426073977,0.7343026782777682,0.2558525800483013,0.0,0.015859261977852784,2882,262877482.41010052,2510215807.3057785,1314387412.0505028,12551079036.528893,2628774824.1010056,25102158073.057785
gbp_fixed,broad_deduplicated,2017-06-30,106,0.3897980947454374,0.10632212866762245,0.7272379467707315,0.25106157292473863,2.0816681711721685e-17,0.014883877753938644,2902,211487135.99809504,2251106689.842312,1057435679.9904752,11255533449.211563,2114871359.9809504,22511066898.423126
gbp_fixed,broad_deduplicated,2017-07-31,106,0.2798860520844981,0.09575182518351852,0.6578899717567531,0.2675116495296861,0.0,0.014605638446450436,2943,232939304.0049705,2439825622.3136983,1164696520.0248525,12199128111.568491,2329393040.049705,24398256223.136982
gbp_fixed,broad_deduplicated,2017-08-31,106,0.4905488415134075,0.1454647786057086,0.7034652489302988,0.3728137318625616,2.0816681711721685e-17,0.018872010032018088,2943,163963595.79983675,1886270710.8614786,819817978.9991837,9431353554.307394,1639635957.9983673,18862707108.614788
gbp_fixed,broad_deduplicated,2017-09-29,106,0.47957327401391125,0.1248866511804464,0.7395879671626078,0.3715162733086138,-1.3877787807814457e-17,0.016627629966095667,2917,217177987.55372396,2135068617.5256627,1085889937.7686198,10675343087.628313,2171779875.5372396,21350686175.256626
gbp_fixed,broad_deduplicated,2017-10-31,106,0.5613501746384352,0.1394906934714492,0.7515085952163549,0.36371751722586054,-1.3877787807814457e-17,0.0159539562045835,2947,155495978.74685678,1862085140.4065833,777479893.7342839,9310425702.032917,1554959787.4685678,18620851404.065834
