pair_number,left_group,right_group,same_group,same_family,same_formula,mean_score_correlation,median_date_score_correlation,mean_top_jaccard,mean_bottom_jaccard,complete_correlation_dates
1,Accounting,Accounting,True,True,False,0.998505,0.9985973,0.93127525,0.94828343,91
2,Accounting,Accounting,True,False,False,0.08468326,0.08869459,0.133199,0.16332252,91
3,Accounting,Price,False,False,False,-0.0026011365,-0.00436257,0.099440984,0.1134756,91
4,Accounting,Price,False,False,False,0.0013057025,0.0037356783,0.11477162,0.117434844,91
5,Accounting,Trading,False,False,False,0.019277398,0.017265575,0.12567648,0.12283499,91
6,Accounting,Price,False,False,False,0.085302845,0.10376574,0.13226755,0.12428294,91
7,Accounting,Trading,False,False,False,0.046994776,0.06620202,0.14530466,0.09549033,91
8,Accounting,Accounting,True,False,False,-0.14474308,-0.15503848,0.09526836,0.068805106,91
9,Accounting,Accounting,True,False,False,-0.028708883,-0.03732129,0.132029,0.0813284,91
10,Accounting,Accounting,True,False,False,0.18448627,0.18569611,0.19498372,0.19505572,91
11,Accounting,Accounting,True,False,False,0.051410742,0.03826874,0.18007503,0.13125212,91
12,Accounting,Accounting,True,False,False,0.12118987,0.12230209,0.15019193,0.18652003,91
13,Accounting,Accounting,True,False,False,0.14391714,0.1459037,0.14502998,0.19982061,91
14,Accounting,Accounting,True,False,False,-0.060766928,-0.061104383,0.10397698,0.11435603,91
15,Accounting,Accounting,True,False,False,0.007937658,0.015653208,0.12782525,0.12575452,91
16,Accounting,Accounting,True,False,False,0.08756633,0.08641624,0.12854183,0.164755,91
17,Accounting,Accounting,True,False,False,-0.013819143,-0.010174724,0.1667732,0.1011426,91
18,Accounting,Price,False,False,False,0.006134397,0.0072751422,0.10810698,0.122746445,91
19,Accounting,Price,False,False,False,0.006134397,0.0072751422,0.10810698,0.122746445,91
20,Accounting,Accounting,True,False,False,0.05843315,0.03874974,0.0,0.11801642,91
21,Accounting,Accounting,True,False,False,0.14995499,0.15398808,0.14473884,0.21433687,91
22,Accounting,Accounting,True,False,False,-0.05882257,-0.048098806,0.09299714,0.13292873,91
23,Accounting,Accounting,True,False,False,0.05892216,0.052962594,0.15793833,0.118921325,91
24,Accounting,Accounting,True,False,False,0.12118987,0.12230209,0.15019193,0.18652003,91
25,Accounting,Accounting,True,False,False,0.020226793,0.012288585,0.132141,0.12590098,91
26,Accounting,Accounting,True,False,False,0.044856183,0.053062323,0.114218324,0.1358015,91
27,Accounting,Accounting,True,False,False,-0.00866222,-0.0066518346,0.11592955,0.12678118,91
28,Accounting,Event,False,False,False,0.011929763,0.007253554,0.0043162853,0.0,71
29,Accounting,Event,False,False,False,0.018716432,0.0048466977,0.0,0.033760175,86
30,Accounting,Event,False,False,False,0.15163937,0.15575902,0.0,0.17549238,91
31,Accounting,Accounting,True,False,False,0.15533143,0.14730674,0.18285877,0.16139004,91
32,Accounting,Trading,False,False,False,0.02452452,0.045974776,0.115617394,0.11339955,91
33,Accounting,Accounting,True,False,False,-0.09117004,-0.096289344,0.11992749,0.07667365,79
34,Accounting,Other,False,False,False,-0.047070477,-0.060634676,0.118266955,0.08029718,91
35,Accounting,Accounting,True,False,False,-0.01877856,-0.0146046635,0.10882427,0.113078065,91
36,Accounting,Accounting,True,False,False,0.056164656,0.029776113,0.19543132,0.08209154,91
37,Accounting,Accounting,True,False,False,-0.27845806,-0.3129933,0.05602776,0.07776014,91
38,Accounting,Accounting,True,False,False,-0.1444018,-0.15232567,0.068704344,0.11671281,67
39,Accounting,Accounting,True,False,False,0.34032252,0.3434737,0.21312508,0.23923251,91
40,Accounting,Accounting,True,False,False,0.094669685,0.0757408,0.16869329,0.14428896,91
41,Accounting,Accounting,True,False,False,-0.023219476,-0.029023802,0.1259661,0.1076879,91
42,Accounting,Other,False,False,False,-0.056523982,-0.055982694,0.08867207,0.1012718,91
43,Accounting,Other,False,False,False,-0.031592757,-0.033469364,0.103802495,0.100574486,91
44,Accounting,Other,False,False,False,-0.042117197,-0.046167657,0.09606397,0.09947452,91
45,Accounting,Price,False,False,False,-0.024039159,-0.033330426,0.10570156,0.11099566,91
46,Accounting,Price,False,False,False,-0.012084683,0.005222614,0.09261609,0.11767509,91
47,Accounting,Price,False,False,False,-0.012084683,0.005222614,0.09261609,0.11767509,91
48,Accounting,Trading,False,False,False,0.032610238,0.043207124,0.12601683,0.110241994,91
49,Accounting,Event,False,False,False,0.0047829757,0.003407309,0.0,0.016780611,88
50,Accounting,Price,False,False,False,-0.019119062,-0.018492851,0.119274996,0.10339108,91
51,Accounting,Price,False,False,False,-0.033093978,-0.03888994,0.12090159,0.10232672,91
52,Accounting,Accounting,True,False,False,0.08468326,0.08869459,0.133199,0.16332252,91
53,Accounting,Accounting,True,False,False,0.03804996,0.04440386,0.14262396,0.14656365,91
54,Accounting,Accounting,True,False,False,0.1099189,0.09500277,0.14563107,0.16890277,91
55,Accounting,Accounting,True,False,False,0.0959394,0.101587035,0.11034628,0.17208831,91
56,Accounting,Price,False,False,False,0.06690159,0.068222776,0.12797768,0.16654044,91
57,Accounting,Price,False,False,False,-0.022084244,-0.025546025,0.090486355,0.123113625,91
58,Accounting,Accounting,True,False,False,-0.016151536,-0.012169411,0.13049798,0.07934993,68
59,Accounting,Price,False,False,False,-0.04228385,-0.041024145,0.12005018,0.09979862,91
60,Accounting,Price,False,False,False,-0.04539816,-0.045240846,0.12288629,0.094983,91
61,Accounting,Price,False,False,False,-0.02823891,-0.024193497,0.12087397,0.10758729,91
62,Accounting,Price,False,False,False,0.046733987,0.03774142,0.11666975,0.16165695,91
63,Accounting,Price,False,False,False,0.0039787223,0.011176711,0.112486,0.1363889,91
64,Accounting,Price,False,False,False,-0.035643246,-0.05416817,0.10381402,0.11395402,91
