signal_date,active_broad_any_score,active_broad_at_least_1000,active_representatives_any_score,active_representatives_at_least_1000,year
2016-06-30,80,74,75,70,2016
2016-07-31,80,0,75,0,2016
2016-08-31,80,74,75,70,2016
2016-09-30,80,74,75,70,2016
2016-10-31,80,74,75,70,2016
2016-11-30,80,74,75,70,2016
2016-12-30,80,74,75,70,2016
2017-01-31,80,80,75,75,2017
2017-02-28,80,80,75,75,2017
2017-03-31,80,80,75,75,2017
2017-04-30,80,0,75,0,2017
2017-05-31,83,80,78,75,2017
2017-06-30,108,80,102,75,2017
2017-07-31,108,83,102,78,2017
2017-08-31,108,108,102,102,2017
2017-09-29,108,108,102,102,2017
2017-10-31,108,108,102,102,2017
2017-11-30,109,108,103,102,2017
2017-12-31,109,0,103,0,2017
2018-01-31,109,108,103,102,2018
2018-02-28,109,109,103,103,2018
2018-03-30,109,108,103,102,2018
2018-04-30,109,109,103,103,2018
2018-05-31,109,109,103,103,2018
2018-06-29,110,109,104,103,2018
2018-07-31,110,109,104,103,2018
2018-08-31,110,109,104,103,2018
2018-09-30,110,0,104,0,2018
2018-10-31,110,109,104,103,2018
2018-11-30,110,110,104,104,2018
2018-12-31,110,108,104,102,2018
2019-01-31,110,110,104,104,2019
2019-02-28,110,110,104,104,2019
2019-03-31,110,0,104,0,2019
2019-04-30,110,110,104,104,2019
2019-05-31,111,110,105,104,2019
2019-06-30,112,0,106,0,2019
2019-07-31,112,110,106,104,2019
2019-08-30,112,110,106,104,2019
2019-09-30,112,110,106,104,2019
2019-10-31,112,110,106,104,2019
2019-11-29,112,110,106,104,2019
2019-12-31,112,111,106,105,2019
2020-01-31,112,112,106,106,2020
2020-02-28,112,112,106,106,2020
2020-03-31,112,112,106,106,2020
2020-04-30,112,112,106,106,2020
2020-05-31,112,0,106,0,2020
2020-06-30,112,112,106,106,2020
2020-07-31,112,112,106,106,2020
2020-08-31,112,112,106,106,2020
2020-09-30,112,112,106,106,2020
2020-10-30,112,112,106,106,2020
2020-11-30,112,112,106,106,2020
2020-12-31,112,112,106,106,2020
2021-01-31,112,0,106,0,2021
2021-02-28,112,0,106,0,2021
2021-03-31,112,112,106,106,2021
2021-04-30,112,112,106,106,2021
2021-05-31,112,112,106,106,2021
2021-06-30,112,112,106,106,2021
2021-07-30,112,112,106,106,2021
2021-08-31,112,112,106,106,2021
2021-09-30,112,112,106,106,2021
2021-10-31,112,0,106,0,2021
2021-11-30,112,112,106,106,2021
2021-12-31,112,112,106,106,2021
2022-01-31,112,112,106,106,2022
2022-02-28,112,112,106,106,2022
2022-03-31,112,112,106,106,2022
2022-04-29,112,112,106,106,2022
2022-05-31,112,112,106,106,2022
2022-06-30,112,112,106,106,2022
2022-07-31,112,0,106,0,2022
2022-08-31,112,112,106,106,2022
2022-09-30,112,112,106,106,2022
2022-10-31,112,112,106,106,2022
2022-11-30,112,112,106,106,2022
2022-12-30,112,112,106,106,2022
2023-01-31,112,112,106,106,2023
2023-02-28,112,112,106,106,2023
2023-03-31,112,112,106,106,2023
2023-04-30,112,0,106,0,2023
2023-05-31,112,112,106,106,2023
2023-06-30,112,112,106,106,2023
2023-07-31,112,112,106,106,2023
2023-08-31,112,112,106,106,2023
2023-09-29,112,112,106,106,2023
2023-10-31,112,112,106,106,2023
2023-11-30,112,112,106,106,2023
2023-12-31,112,0,106,0,2023
2024-01-31,112,112,106,106,2024
2024-02-29,112,112,106,106,2024
2024-03-31,112,0,106,0,2024
2024-04-30,112,112,106,106,2024
2024-05-31,112,112,106,106,2024
2024-06-30,112,0,106,0,2024
2024-07-31,112,112,106,106,2024
2024-08-30,112,112,106,106,2024
2024-09-30,112,112,106,106,2024
2024-10-31,112,112,106,106,2024
2024-11-29,112,112,106,106,2024
2024-12-31,112,112,106,106,2024
2025-01-31,112,112,106,106,2025
2025-02-28,112,112,106,106,2025
2025-03-31,112,112,106,106,2025
2025-04-30,112,112,106,106,2025
2025-05-30,112,112,106,106,2025
2025-06-30,112,112,106,106,2025
2025-07-31,112,112,106,106,2025
2025-08-31,112,0,106,0,2025
2025-09-30,112,112,106,106,2025
2025-10-31,112,112,106,106,2025
2025-11-30,112,0,106,0,2025
2025-12-31,112,112,106,106,2025
2026-01-30,112,112,106,106,2026
2026-02-27,112,112,106,106,2026
2026-03-31,112,112,106,106,2026
2026-04-30,112,112,106,106,2026
2026-05-31,107,0,101,0,2026
2026-06-12,111,111,105,105,2026
